State         Time      Voltage         mAhg        LixFe3O4      Elect_Conc      Solid_Conc        Reaction
  CDR        hours        Volts         mAhg        LixFe3O4         mol/cm3        LixFe3O4               ,
    D     31.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47933E+02     7.53559-315
    D     32.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47929E+02     7.53559-315
    D     32.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47925E+02     7.53559-315
    D     33.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47921E+02     7.53559-315
    D     33.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47917E+02     7.53559-315
    D     34.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47913E+02     7.53559-315
    D     34.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47909E+02     7.53559-315
    D     35.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47905E+02     7.53559-315
    D     35.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47901E+02     7.53559-315
    D     36.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47897E+02     7.53559-315
    D     36.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.47893E+02     7.53559-315
